epoch,train_loss,val_loss,train_r,val_r
1,3.0140059349384716,1360.5858607138357,-0.046504980317339344,-0.15916460515512795
2,3.2323056383335844,1269.7659449423513,-0.25817469587398023,-0.15897222124137106
3,3.639344093647409,1180.5889931955646,-0.2825086402887582,-0.15880297355191508
4,2.296274557392648,1093.1942227271295,-0.1681052557677144,-0.15857563278905382
5,2.5646501551283167,1027.9323139805947,-0.2505223143149496,-0.15839960025816152
6,2.2293840684789292,968.7482604980469,-0.16546018187631228,-0.15825465228943777
7,1.3415063340613183,913.109859343498,-0.15820907879724974,-0.1581264528852948
8,2.606676010375327,845.6253012380292,-0.13335863719535837,-0.1579365662626943
9,2.580363025056555,778.347669047694,-0.26242311272249674,-0.15773847364752336
10,1.2545426044058292,715.5008407100554,0.2634740110871556,-0.15748177640470093
11,2.1797836790693568,666.0191926033266,-0.1444833451141911,-0.15714143584617019
12,1.7302930101435234,614.7188248172884,-0.16161254362556693,-0.15679418217308644
13,1.9035619674844946,571.5038319249308,0.06712872692322748,-0.15649855877343066
14,1.4031665223710081,531.3902135049143,0.0324480678092416,-0.1562087622732922
15,1.456126999347768,494.00089140861263,-0.1929882887827575,-0.15598542753696393
16,0.6588875625995879,459.3223463489163,0.18500705170165854,-0.1558282664726396
17,1.5306511413543782,431.89666501937376,-0.040574651685469705,-0.15563343473535785
18,1.9634459259662222,410.20315896311115,-0.058707520060039466,-0.15548524666633176
19,1.1997137158475024,388.55870302261843,0.2094125207018425,-0.15531153508651388
20,1.2049685475674081,378.54782990486393,-0.1891788941655402,-0.15525095144441414
21,1.2480372875294787,358.21837099136843,-0.14631690270618497,-0.15513368017081278
22,0.9321575862296084,332.6026158486643,0.09042374397536837,-0.15487458347280555
23,1.4020791408863473,310.58831590221774,0.1012678514524637,-0.15454790266207205
24,0.9782775082486741,299.1301540251701,0.12219854728907192,-0.15429685433907528
25,1.7026518849616354,289.1219256001134,-0.019481364955765818,-0.1540592894732735
26,1.4258021090893036,279.5179650091356,0.04728326619168558,-0.15381319409512667
27,1.0049743433582021,269.73638719128024,0.05116076622048956,-0.15360363588807288
28,0.8901468261759332,258.05199013986896,0.005377044299952374,-0.15346769151506906
29,1.2441964365066367,249.16676429010207,0.05450710554370518,-0.15340266524040827
30,0.7447424594392168,239.6768533029864,0.03296168114139814,-0.15316444221775896
31,0.9747202161778795,239.97242416874056,0.05924225400081725,-0.15305037408079292
32,1.7456068168295191,234.31591304655998,-0.014152201873661297,-0.15292697423157647
33,0.6956763470426519,220.95520487139302,0.11137970871214208,-0.1526662124787855
34,0.5788009471081673,208.12734665409212,0.026402793235964152,-0.15231257963799028
35,1.092693675705727,198.37779851113595,-0.12028252732091838,-0.15206260713532765
36,0.7669812066757933,191.5805191532258,-0.004262086252297574,-0.15182767547202755
37,0.8603763275958122,188.29039124519593,0.16802756931216373,-0.15173748758757322
38,1.45632548281487,180.8314666748047,0.14489690264161467,-0.1516402731730843
39,1.4463936001696485,179.14911553167528,0.11521331493539691,-0.15165317950445661
40,1.023645357882723,177.75111586047757,0.10108912005376024,-0.15171108538577532
41,1.1484060591839729,178.00327670189643,-0.09481980544122859,-0.15205816466642208
42,0.8102261018245778,179.16566565728957,-0.1399022769156122,-0.15213414155041988
