epoch,train_loss,val_loss,train_r,val_r
1,2.158170235917923,29.234197801159276,-0.27346245047812373,-0.19387629018985944
2,3.3248171755608094,28.19851512293662,-0.22492674872243354,-0.19329644421138747
3,3.89365394825631,26.841521478468373,-0.32295386746831967,-0.19274348665001026
4,2.5194844730356905,25.47309850877331,-0.26259226281370845,-0.192221802763416
5,1.77703905169,24.09314469368227,-0.12833173865487355,-0.1916438291607832
6,1.1346990745118324,22.90358635687059,-0.3987604998094109,-0.19104863847964765
7,5.988839271220755,21.62999633050734,-0.31665430135084477,-0.19058889590755124
8,1.8088414301263525,20.387026202294134,-0.07713757269058322,-0.19028500890060548
9,1.3094043750712212,19.320990039456277,-0.058654187748482,-0.18996613436116414
10,2.0021781211203717,18.493220360048355,-0.15661054962921267,-0.1897207638064956
11,2.66136952410353,17.611810622676725,-0.12606128019258275,-0.18945040845189576
12,5.571481106129099,16.992099700435514,-0.2646585772523118,-0.18922778587582306
13,2.246535980955083,16.03341084141885,-0.22049344672311993,-0.1888741447140165
14,2.2634314564948386,15.115942001342773,-0.12686406463893662,-0.18854480325835632
15,2.8423475508994245,14.397700771208733,-0.16709326101104705,-0.18804683884001724
16,1.413251023343269,13.764948260399603,-0.1327247256541229,-0.18770423304914557
17,1.2867011821016352,13.325847441150296,-0.015632342859714824,-0.1877036236541822
18,1.2581048721962786,12.516745290448588,-0.23457459746147036,-0.18753362849627817
19,1.8606716616356627,11.540568136399791,-0.1955551946415853,-0.1871873529756903
20,1.1298380538504174,10.859308365852602,0.14001842497816822,-0.18695150927125273
21,1.8087257349744756,10.439093435964276,-0.09330204360924389,-0.187229192096277
22,1.0271877430854959,9.909741401672363,-0.1876169219555858,-0.18728753459137712
23,1.173511950259513,9.46754923174458,0.10109125565464075,-0.187211126676558
24,1.633355772400156,8.94338930806806,-0.08184182000156337,-0.18698743859654285
25,1.2593870518055368,8.44210329363423,-0.007073537735734649,-0.1865443150740737
26,2.5534117789344584,7.8103396508001515,-0.17988486734742207,-0.18625766568803273
27,1.914569966336514,7.419087502264207,-0.0995778306871396,-0.18627652359945843
28,1.044297624141612,7.01457574290614,0.030719371277966607,-0.18611736692968195
29,1.5087163879516277,6.413355119766727,-0.22979412606589075,-0.18580575742714914
30,2.883653295801041,5.845599635954826,-0.06757106979200546,-0.18526156203474056
31,1.4106788914254371,5.503566603506765,-0.03318885029451613,-0.18479315367271912
32,1.0667631467606158,5.232000274042929,-0.15423723398526545,-0.1847741906824727
33,1.3619698533352385,4.996250490988454,-0.11714227749408812,-0.18482638279721314
34,1.2918876916804212,4.643828791956747,0.11393490561506497,-0.1844742375200992
35,1.2108103112971529,4.351596340056388,0.19311657935462243,-0.1837907276531049
36,0.8674196949664582,4.040950744382797,-0.07002256405127659,-0.18331041184204508
37,1.0215975280771865,3.8429693406628025,0.1073965525639719,-0.18250960635433336
38,0.6241903596736015,3.5988367757489605,0.0772427505096755,-0.18145946795294904
39,0.8447291622770593,3.4338644396874214,0.2816711279749923,-0.18080661780971552
40,1.0470776380376612,3.220092688837359,-0.14451238858789048,-0.1802896315136076
41,1.9400573791341578,2.982816219329834,0.06635395627720762,-0.17942683293709166
42,0.6806798589990494,2.776326141049785,0.06295395005883482,-0.1785739032880483
43,0.6968885051443222,2.6648392831125567,0.25303947123213605,-0.1787191861630649
44,1.2988294071339546,2.6321194940997708,0.16067199960911485,-0.17830909644152015
45,0.7062872090238206,2.56017622640056,-0.05464993264776213,-0.1778234016385432
46,0.5125127840549388,2.4326169875360306,0.17006328479735794,-0.176786466651813
47,0.8616617188808766,2.347813444752847,-0.008502840691295938,-0.17600535408120802
48,1.0628483333486192,2.361192980120259,0.26950791032316307,-0.17624552685843284
49,1.5802708956155371,2.3867253180473083,0.04631504193574802,-0.1758535887042112
50,1.6422774614171778,2.441219691307314,0.197292300202318,-0.17504610560027822
51,1.0298148672631446,2.382525682449341,-0.11338714915015752,-0.17392902668034563
52,0.5277160399771751,2.215497639871413,-0.018102212245022287,-0.17237186553614284
53,1.0483540632623307,2.044292711442517,0.10430891525528649,-0.17132178937617093
54,0.9783725580002399,1.9759054799233713,-0.007726323065260939,-0.17155609612633566
55,0.6318791140901282,1.9576032123258036,0.3114499006530683,-0.17204561721347167
56,1.2199113635306662,1.9573129146329817,-0.01617416395351617,-0.17267946714586285
57,1.105767437752257,1.892554098559964,0.043914637752170964,-0.1721849733270033
58,0.4907389574862541,1.8294317260865243,0.26539171692129204,-0.17134490936211003
59,1.6003570134969467,1.743002506994432,0.1456939409156398,-0.17032527350322685
60,0.7180830367068027,1.71462034410046,0.08877573954151866,-0.1704401230173851
61,0.903280866906998,1.760285166002089,0.22470144808395762,-0.17093087234012294
62,0.574741338161712,1.7728970550721692,0.04192755051148877,-0.17133902691034433
63,1.0007926504662696,1.668523484660733,-0.14739490378649053,-0.17033853014660563
64,0.9644930197837505,1.5081095041767243,-0.03722109640198421,-0.16762452557950402
65,0.6077314849863661,1.4144491764806932,0.07824786544446403,-0.16564595406088853
66,1.4706299964417802,1.301140712153527,-0.12060782618569967,-0.1640499737469848
67,0.6438557315380016,1.1644196106541542,-0.05280910114037601,-0.16071914921360372
68,0.851766843745049,1.0621289130180114,0.14739493970527848,-0.15821995765887895
69,0.920872614738789,0.9641193593702009,-0.16552362870240833,-0.15572553781633122
70,0.472234012281641,0.9672130346298218,0.33776374576661256,-0.15819142093698457
71,1.4602616746374901,0.9987395155814386,0.13045867901128422,-0.16117304997238968
72,0.6944442302622693,1.0322230958169507,0.20115389097488087,-0.16303701521134292
73,0.6702034879238048,1.0142993580910467,0.015432526242437971,-0.16163168268665506
74,0.43605320298291267,0.9675959829361208,0.14052475975491202,-0.15862527831295195
75,1.935475509217445,0.9289154391134938,-0.25910811654224003,-0.15519488247072122
76,1.4259614843003294,0.8625961772857174,0.06437367746689314,-0.14994261377364357
77,0.9458240644728884,0.7740597686459941,-0.1554449483816275,-0.14086149619679775
78,1.195393775371795,0.6856142320940571,-0.07125195033080191,-0.12948496545925353
79,0.8033719589101508,0.6538788810853036,0.05459169973281729,-0.12448563126831685
80,0.2937179334620212,0.6423861461301004,0.33558012756578365,-0.12432316628441314
81,0.5597284401350833,0.5939631019869158,-0.16749855175193912,-0.11479023387185801
82,1.0152589070036055,0.5513777771303731,0.10891723980297303,-0.10292071462741814
83,0.96436703966019,0.5400623683967898,0.009633797013164042,-0.09851855207477897
84,0.5954033475606999,0.5106084164111845,0.3016694202539079,-0.08850268545959818
85,1.1774806950954682,0.4653682574149101,-0.13471693792270048,-0.07131964925042829
86,0.5385704611210113,0.4485783793272511,0.3309448874837387,-0.0637819789045131
87,0.8766300449980066,0.4581212084139547,0.08796905237934217,-0.06939905457936282
88,1.0167202930501167,0.4435404712154019,-0.16222084306582843,-0.06164626386851776
89,0.6524092922819421,0.4231142079637897,-0.019186553911402688,-0.048770284273431844
90,0.6378986673786285,0.4082031682614357,0.11868240658705304,-0.03650593112866236
91,0.681028369893419,0.38854283238610915,0.20335113885946907,-0.01586114587556836
92,0.571926476156458,0.382334106391476,0.040901076319698,-0.005916387880796035
93,0.7828836288857968,0.3928066977570134,0.36484082249818256,-0.01774530152979938
94,0.6920238124563339,0.40241782703707296,0.11632463009648773,-0.027445774352510513
95,0.6090926445545034,0.4128164177940738,0.24375620428847944,-0.036869787361041274
96,0.5669819015137693,0.44126860076381313,0.18068983765933733,-0.06097945257398777
97,0.4307887034213289,0.45211528433907416,0.17494088396878862,-0.06962287711452442
98,0.948190837464434,0.4438281674538889,-0.10586684705225288,-0.06781846916083631
99,0.5129959989101329,0.4281207169255903,0.027104018864374663,-0.05868907615277036
100,0.4301212544136859,0.41561095031999773,0.24381113785553446,-0.04756077050795604
101,0.2979034033227474,0.44253823449534757,0.3197531480072754,-0.06919100554703025
102,0.7403081585752204,0.44535729096781823,-0.005008376306382005,-0.0734834857148182
103,1.2954566187046943,0.43407766184499186,-0.06549796490428837,-0.06589935476165543
104,0.7817221360003694,0.419665222687106,0.0918002895826095,-0.055992298061145376
105,0.9955432624258893,0.4049665274158601,-0.004593426163474341,-0.04004306480042725
106,0.5682644786986899,0.40507467908243977,0.29403541240622383,-0.03962776994280218
107,0.47712122379465305,0.4160740755258068,-0.031464609069486615,-0.04562009015582549
108,0.5234230715543666,0.4349921941757202,0.2983864006921233,-0.058253236654950684
109,0.6426846048933395,0.45421244588590437,0.08325714878808413,-0.06634576639249867
110,0.5965882489021789,0.46789594523368344,0.13239044930795982,-0.07118825330373788
111,0.4781855091135553,0.5200963875939769,0.3327409260662566,-0.09077965161308148
112,0.7521375262356819,0.5684589330227144,-0.013193067773049152,-0.10529925537701573
113,0.38552537734838244,0.5833671679419856,0.15914264975276696,-0.11016167572461336
114,0.24276786598753422,0.5571299435630921,0.22434146125296758,-0.10292694598664116
115,0.4812605228829891,0.5115778181822069,0.22333838674567297,-0.08854333393955192
116,0.5069804220123494,0.46149406125468595,-0.026387415208273323,-0.06900825680913214
117,0.24458515707482684,0.4113146508893659,0.060621446235636714,-0.03807725867207953
118,0.6174155245435998,0.3737804615689862,0.10793232429428717,0.0006061572573221336
119,0.4749234990870699,0.3574133433641926,0.09774378745243621,0.023724849116387666
120,0.32609867288711225,0.3549132659550636,0.12946769030239316,0.028497524163695248
121,0.5601737626055454,0.35268893164973103,0.26330634973643496,0.031094715746604
122,0.34649435192980665,0.3552363750434691,0.26744173151926404,0.023469739587811168
123,0.5609328331465416,0.3644025152729404,0.30125623937923085,0.006693499768858588
124,0.5691491676137802,0.36319721033496244,0.2373482722502852,0.006937692028477574
125,0.28951928463388,0.3748664956900381,0.3656305152928205,-0.012454376368113957
126,0.3483174633472524,0.3776675828041569,0.07475300418566393,-0.01805132389957205
127,0.6469886474152828,0.3741699755191803,0.10145052597509886,-0.01676525098918077
128,0.40812859890308784,0.37046099958881257,0.1650205204039161,-0.014054845490768868
129,0.4336628863152037,0.3589344101567422,-0.051426563397856395,0.0020626541289196754
130,0.22056263550481897,0.3432441844094184,0.20566575892972372,0.029453542258584767
131,0.39023586917430797,0.33255720859573734,0.2686616022669887,0.05856415488912444
132,0.32221126556396484,0.32925260643805226,0.054603770639898394,0.07092554157964973
133,0.43053346491874533,0.32754902109023065,0.17313358833659798,0.0808546548812076
134,0.33737908779306613,0.3271777504874814,-0.02617127709849559,0.09271855749182155
135,0.5771539352358656,0.3263970863434576,0.018378367162443367,0.09795047623580574
136,0.4671760683364056,0.32452546108153557,0.04066239868808841,0.09765439822626798
137,0.8147227732425041,0.32315979465361566,-0.13300910218304296,0.10093258335656985
138,0.5145661539219796,0.3218363033187005,0.33048862085658076,0.10286596881384459
139,0.48409608196704945,0.32172227386505375,-0.016253902889295038,0.11014288444646597
140,0.27277757798103575,0.3199176711420859,0.2681971964165758,0.10761449890314703
141,0.5862272900152714,0.3188157504604709,0.16338768297666897,0.10971797426193619
142,0.4829634875059128,0.3204368256753491,0.19178233394129507,0.11748085897963292
143,0.2916864499132684,0.33212171254619477,0.16495435165110756,0.13398530092993144
144,0.3722279553717755,0.35135749463112126,0.12706868568913873,0.14613164716676155
145,0.20724067599215407,0.37755062118653326,0.29519119126674676,0.15463807987091507
146,0.5254591690733078,0.3917612568024666,0.3089336694430837,0.15760838475686764
147,0.4374375186384992,0.3718749823108796,0.34615591794739914,0.15271196979356957
148,0.667203147360619,0.3491126933405476,0.034746300448220344,0.1447601912040951
149,0.25932550303479457,0.34295712555608443,0.18322192765349576,0.1411022680910227
150,0.3595520942769152,0.33556741379922433,0.16784396853871736,0.1360687669925165
151,0.32265853374562364,0.3330518420665495,0.23076054960573225,0.133401363515399
152,0.43563000350556474,0.3316592487596696,0.08721703344941903,0.13201597118876726
153,0.3472895749071811,0.33994963476734774,-0.03758657711664316,0.13903603094007025
154,0.20648021314372408,0.35276127534527935,0.4039387919899168,0.14631959310013562
155,0.2592234674920427,0.36577297026111233,0.22104317319021824,0.15205086506417648
156,0.4071822150590572,0.3854751759959805,0.045586268239024896,0.15732980866314664
157,0.27218122685209234,0.3995765889844587,0.40722525411170946,0.16017751349480194
158,0.26769175871889644,0.40209673681566793,0.2485735825203289,0.1607047360589486
159,0.27230745046696764,0.40088409954501736,0.2428605241549713,0.1604467965756512
160,0.3846780993836991,0.42547998120707853,0.05207693225860355,0.16435556803934992
161,0.7795431293705677,0.44935640788847403,0.0921625887173088,0.16728180962075653
162,0.26904809379831274,0.4877606880280279,0.12958938370204637,0.17034148637742588
163,0.5122450485508493,0.533576911495578,0.014407882764259248,0.1734081155253251
164,0.23550922756499432,0.5321013812095888,0.4154463433928224,0.1736686631276195
165,0.23616186386727273,0.5404192209243774,0.16829775686369144,0.17400665539072735
166,0.40272498257616735,0.5192566956243208,0.36258773754359397,0.17300690334908095
167,0.48490591997161825,0.47474304899092645,0.2226001596120264,0.17050263714041283
168,0.2576145973611385,0.439651983399545,0.3732676354738112,0.16843182722329814
169,0.31008498243829036,0.39441973740054714,0.3342187140765116,0.16385800311769905
170,0.28045429828319146,0.3605853472986529,0.2977439420830032,0.15813250267539375
171,0.6170528713375965,0.3607634902000427,-0.04572953837922632,0.15891455600153787
172,0.2116473821249414,0.37963696449033674,0.17451023329430984,0.16315290759942583
173,0.446703036414816,0.3995704035605154,-0.07777444751330627,0.16632734212639858
174,0.36659560780575934,0.3993987537199451,0.27448350648297076,0.16651408244018245
175,0.7306661434630131,0.39661442272124753,-0.12888934420924028,0.1667439058455079
176,0.4065997435691509,0.3890082509286942,0.13882954949574933,0.16601673162379474
177,0.43335308546715595,0.3904711258026861,0.09845668572316726,0.16642024285279863
178,0.49930714261024556,0.39572165473814935,0.10015929904343221,0.16829121634720173
179,0.22637435984104237,0.39915253654603033,0.4542858884860004,0.1695305812819964
180,0.4391053908682884,0.41305247237605436,-0.04972664409378686,0.17111211806190907
181,0.2700612811332053,0.4285488147889414,0.092470414841926,0.1728086352334678
182,0.4956044171084749,0.4466849950052077,0.33720127025355623,0.17474701109742513
183,0.30336105823516846,0.4439202008708831,0.2647598344412128,0.1755032003889008
184,0.3477205285366545,0.4130101261600371,0.2808522593813071,0.17391052719760164
185,0.2814974562918886,0.39338391634725756,0.16031384617295413,0.1727652196119754
186,0.26389243628116366,0.37541412345824704,0.23957258260988634,0.1712225319802208
187,0.40735619118873106,0.36336890151423795,-0.02742170275856869,0.16904846937940632
188,0.3734365739720933,0.359989300850899,0.23604350707737698,0.16896868389426412
189,0.19951877188175282,0.3460400681341848,0.3917563992863924,0.1673547664300587
190,0.26415488884804095,0.33526716501482073,0.12192891154321209,0.16470766233455642
191,0.6075061699177357,0.33502870605837914,-0.2263590954754724,0.16523965189026468
192,0.17669978864649508,0.3387886824146394,0.3832177184730487,0.16672996009118435
193,0.3102709727084383,0.3479368052174968,-0.09207993581692153,0.16958123406186276
194,0.48776076448724626,0.359464745367727,0.1385586027032278,0.17176567763047634
195,0.20960204017923234,0.35720507367964716,0.29587418720893377,0.17112420430150516
196,0.3619801643046927,0.3393383083804961,0.38951420301581646,0.16789912943571364
197,0.38296851579179153,0.31825548025869554,0.21238303172983317,0.16239711637497528
198,0.24113547801971436,0.3045433528961674,0.17851771194688146,0.15775331887948554
199,0.2836392318948786,0.29597954788515646,0.406664499228473,0.15382382080086893
200,0.40474233475137267,0.2872636827730363,0.05326307574694784,0.14805920634007322
