PL,MenDel.Name,Category
PL216,EnhancerCluster_Pair_Sox2DHS24andSox2DHS23,DHS Level
PL217,EnhancerCluster_Pair_Sox2DHS24andNanogDHS47up,DHS Level
PL218,EnhancerCluster_Pair_Sox2DHS24andNanogDHS48up,DHS Level
PL219,EnhancerCluster_Pair_Sox2DHS24andNanogDHS57dn,DHS Level
PL220,EnhancerCluster_Pair_Sox2DHS24andNanogDHS58dn,DHS Level
PL221,EnhancerCluster_Pair_Sox2DHS24andNanogDHS55dn,DHS Level
PL222,EnhancerCluster_Pair_2xSox2DHS23,DHS Level
PL223,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRB,Sub-DHS Level
PL224,EnhancerCluster_TF_Sox2DHS23andDHS24~dNuclearreceptorAndSOX,Sub-DHS Level
PL225,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRA,Sub-DHS Level
PL226,EnhancerCluster_TF_Sox2DHS23andDHS24~dForkhead,Sub-DHS Level
PL227,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRAandESRRB,Sub-DHS Level
PL228,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRBandForkhead,Sub-DHS Level
PL229,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRAandNuclearreceptorandSox,Sub-DHS Level
PL230,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRAandForkhead,Sub-DHS Level
PL231,EnhancerCluster_TF_Sox2DHS23andDHS24~dESRRBandESRRAandForkhead,Sub-DHS Level
PL232,EnhancerCluster_TF_Sox2DHS23andDHS24~d4TFBS,Sub-DHS Level
PL233,EnhancerCluster_Single_Sox2DHS19ext,DHS Level
PL234,EnhancerCluster_Pair_Sox2DHS19extAndSox2DHS24,DHS Level
PL237,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxA,Sub-DHS Level
PL238,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxB,Sub-DHS Level
PL239,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxC,Sub-DHS Level
PL240,EnhancerCluster_TF_Sox2DHS23~NuclearreceptorandSoxD,Sub-DHS Level
