PL,mendel_name,sequence_length,raw_score,component_dnase,component_h3k27ac,component_h3k4me1,component_ep300,normalized_score,is_reference,Project,groups,MenDel.Name,Clone.ID,Sox2 (CAST),Sox2 (BL6),Fold Change,Activity,Paper
PL188,Sox2_DistalLCR_DHS19andDHS23,26880,614.6366792023182,215.35504347085953,108.91324743628502,130.9001692533493,309.41375482082367,,False,DistalLCR,DHSs 19 & 20,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E01,5.463,10.077,0.041,0.028,EnhancerCluster
PL188,Sox2_DistalLCR_DHS19andDHS23,26880,614.6366792023182,215.35504347085953,108.91324743628502,130.9001692533493,309.41375482082367,,False,DistalLCR,DHSs 19 & 20,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E02,5.42,9.807,0.048,0.033,EnhancerCluster
PL188,Sox2_DistalLCR_DHS19andDHS23,26880,614.6366792023182,215.35504347085953,108.91324743628502,130.9001692533493,309.41375482082367,,False,DistalLCR,DHSs 19 & 20,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E05,6.633,9.647,0.124,0.087,EnhancerCluster
PL188,Sox2_DistalLCR_DHS19andDHS23,26880,614.6366792023182,215.35504347085953,108.91324743628502,130.9001692533493,309.41375482082367,,False,DistalLCR,DHSs 19 & 20,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E06,5.53,10.483,0.032,0.022,EnhancerCluster
PL188,Sox2_DistalLCR_DHS19andDHS23,26880,614.6366792023182,215.35504347085953,108.91324743628502,130.9001692533493,309.41375482082367,,False,DistalLCR,DHSs 19 & 20,Sox2_DistalLCR_DHS19andDHS23,BL6/C PL188(Sox2_6_7)_20221222_E09,5.41,9.823,0.047,0.032,EnhancerCluster
